horse	Seed1	Seed2	Coverage	FragLength
M13144	911	526	5	150
ARAB0136A	907	564	12	100
M10640	710	590	17	151
M316	804	839	5	151
CLDB65666	622	711	12	101
M1542	978	529	17	151
FRMO0053A	784	915	5	101
FRMO0059A	838	736	12	101
FRMO0047A	914	903	17	101
FRTR0140A	580	972	5	REDO
FRTR0139A	884	681	12	101
FRTR0026A	993	745	17	101
SRR527800	891	514	5	99
SRR527809	537	826	12	99
SRR516118	685	836	17	99
M13139	792	913	5	150
M11020	975	810	12	126
M10999	759	981	17	151
M4493	948	922	5	126
SRR6175106	822	786	12	126
M10997	602	925	17	151
SRR3900346	732	517	5	100
SRR515218	606	509	12	104
ERR868004	896	661	17	101
M11947	690	762	5	150
M13683	549	878	12	150
M11834	950	600	17	150
SRR515204	814	539	5	104
SRR2103372	568	712	12	100
M8679	809	520	17	151
SRR2102500	541	666	17	100
ERR868003	991	597	17	101
ERR1527969	650	933	17	101
ARAB0135A	917	631	17	101
M1552	947	555	17	101
M1563	612	720	12	151
SRR6175105	937	935	12	120
M4869	715	939	12	151
ARAB0020A	502	743	12	101
M6166	636	724	12	100
SRR3900339	857	962	5	100
M1556	642	908	5	151
SRR6175104	678	686	5	120
SRR3726219	862	932	5	100
M6175	717	988	5	126
